epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.076,2.14352,2.88112,1.91927,0.41201,0.17746,0.06215,0.0227,2.78719,6.89242,2.83506,0.000473987,0.000473987,0.000473987
2,257.716,2.33792,2.9336,2.11692,0.01633,0.24112,0.01564,0.00499,2.94081,27.9604,2.97558,0.000940912,0.000940912,0.000940912
3,368.494,2.31466,2.92281,2.08808,0.41798,0.17881,0.05028,0.01833,2.8311,6.49563,2.7208,0.00139841,0.00139841,0.00139841
4,478.777,2.18423,2.84746,2.00328,0.47701,0.17583,0.10265,0.03941,2.42208,3.16261,2.34639,0.00138656,0.00138656,0.00138656
5,588.41,2.14421,2.74994,1.96421,0.51857,0.1648,0.14213,0.05225,2.35105,3.19272,2.26914,0.00137241,0.00137241,0.00137241
6,697.732,2.09259,2.68239,1.93038,0.35003,0.2484,0.18345,0.07745,2.33909,2.88221,2.19392,0.00135826,0.00135826,0.00135826
7,805.602,2.02819,2.64854,1.8668,0.2395,0.28714,0.18676,0.08537,2.19924,2.68649,2.12067,0.00134412,0.00134412,0.00134412
8,914.633,1.97666,2.527,1.83039,0.55304,0.31577,0.21521,0.10006,2.12269,2.5228,2.05208,0.00132997,0.00132997,0.00132997
9,1024.39,1.94092,2.45506,1.80571,0.23691,0.28083,0.21115,0.09427,2.10318,2.55079,2.00505,0.00131582,0.00131582,0.00131582
10,1134.97,1.94422,2.46005,1.79144,0.59393,0.28083,0.23497,0.10757,2.06935,2.62603,1.97246,0.00130168,0.00130168,0.00130168
11,1245.09,1.9267,2.41787,1.78202,0.56774,0.2708,0.2227,0.09414,2.07969,2.58968,1.99222,0.00128753,0.00128753,0.00128753
12,1353.82,1.9047,2.37026,1.767,0.57571,0.32986,0.23208,0.10482,1.96154,2.39116,1.90201,0.00127338,0.00127338,0.00127338
13,1462.18,1.87818,2.33096,1.75936,0.57694,0.35617,0.25297,0.11078,1.98522,2.37789,1.93122,0.00125923,0.00125923,0.00125923
14,1571.27,1.86978,2.34061,1.74654,0.59626,0.31458,0.25647,0.11565,2.06503,2.42105,1.95389,0.00124509,0.00124509,0.00124509
15,1679.8,1.8495,2.274,1.71996,0.58658,0.3385,0.28176,0.12736,1.98308,2.32895,1.91155,0.00123094,0.00123094,0.00123094
16,1790.12,1.81874,2.24067,1.70349,0.61896,0.34545,0.29068,0.1381,1.93385,2.27348,1.90156,0.00121679,0.00121679,0.00121679
17,1898.1,1.81501,2.2252,1.69876,0.38744,0.35242,0.2848,0.1398,1.96444,2.17209,1.91741,0.00120265,0.00120265,0.00120265
18,2006.79,1.78711,2.14734,1.66514,0.30045,0.40579,0.26167,0.1229,1.95365,2.38569,1.9115,0.0011885,0.0011885,0.0011885
19,2115.99,1.78672,2.17129,1.68889,0.31749,0.31724,0.25964,0.12083,1.93242,2.38586,1.88188,0.00117435,0.00117435,0.00117435
20,2225.02,1.80347,2.16937,1.68953,0.3456,0.3806,0.31716,0.15625,1.92026,2.25764,1.89572,0.00116021,0.00116021,0.00116021
21,2334.78,1.77699,2.16085,1.67345,0.30178,0.41252,0.31575,0.15704,1.92503,2.20119,1.84465,0.00114606,0.00114606,0.00114606
22,2443.95,1.7593,2.08898,1.65375,0.40545,0.41432,0.33594,0.16336,1.90591,2.12193,1.86983,0.00113191,0.00113191,0.00113191
23,2553.2,1.76207,2.09525,1.6771,0.42787,0.41039,0.3554,0.17178,1.86159,2.07864,1.82347,0.00111776,0.00111776,0.00111776
24,2661.77,1.73731,2.06819,1.65819,0.36571,0.41844,0.36225,0.19105,1.86334,2.05861,1.84144,0.00110362,0.00110362,0.00110362
25,2769.9,1.7362,2.04044,1.63528,0.36578,0.41579,0.36873,0.19138,1.82559,2.08236,1.8078,0.00108947,0.00108947,0.00108947
26,2877.5,1.7082,2.00823,1.61538,0.38773,0.45759,0.36856,0.19008,1.81887,2.01616,1.80487,0.00107532,0.00107532,0.00107532
27,2985.15,1.6975,1.99058,1.62197,0.36688,0.46807,0.36637,0.19401,1.81212,2.02477,1.78992,0.00106118,0.00106118,0.00106118
28,3093.09,1.6916,1.96855,1.59952,0.4595,0.41684,0.37913,0.18428,1.80245,2.01451,1.77559,0.00104703,0.00104703,0.00104703
