epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.978,2.03512,2.83812,1.82937,0.48525,0.16426,0.11862,0.04904,2.58957,4.36256,3.3267,0.000473987,0.000473987,0.000473987
2,264.739,2.17774,2.82328,1.97938,0.37841,0.17773,0.0428,0.01631,2.51493,4.79438,2.56189,0.000940912,0.000940912,0.000940912
3,399.664,2.211,2.79435,2.03244,0.46145,0.20314,0.10241,0.03644,2.50992,3.35949,2.46884,0.00139841,0.00139841,0.00139841
4,522.778,2.10058,2.75407,1.95505,0.18135,0.23354,0.1201,0.05072,2.31714,3.09155,2.18879,0.00138656,0.00138656,0.00138656
5,640.941,2.05362,2.63121,1.92125,0.51612,0.27451,0.18615,0.0806,2.22794,2.71906,2.1678,0.00137241,0.00137241,0.00137241
6,757.657,2.01205,2.55714,1.89533,0.28979,0.27766,0.21132,0.09874,2.19663,2.63721,2.08999,0.00135826,0.00135826,0.00135826
7,861.93,1.95251,2.49888,1.83421,0.24253,0.28086,0.23976,0.11709,2.18702,2.57484,2.06586,0.00134412,0.00134412,0.00134412
8,967.325,1.93339,2.45112,1.80413,0.31606,0.30151,0.23047,0.11159,2.10336,2.59075,2.01458,0.00132997,0.00132997,0.00132997
9,1070.57,1.88685,2.33458,1.77036,0.35516,0.33244,0.25091,0.11505,2.05403,2.41781,1.98455,0.00131582,0.00131582,0.00131582
10,1173.97,1.86438,2.3251,1.75441,0.58043,0.30958,0.2768,0.13276,1.94928,2.64701,1.91758,0.00130168,0.00130168,0.00130168
11,1277.79,1.8403,2.27333,1.74122,0.4271,0.29287,0.29137,0.147,1.98949,2.35276,1.9356,0.00128753,0.00128753,0.00128753
12,1382.84,1.82548,2.23191,1.7296,0.30459,0.3847,0.26593,0.1302,1.92648,2.34214,1.8733,0.00127338,0.00127338,0.00127338
13,1487.89,1.8047,2.22463,1.72291,0.35806,0.37395,0.25723,0.1152,1.90457,2.43585,1.90164,0.00125923,0.00125923,0.00125923
14,1592.92,1.80093,2.1846,1.72736,0.32294,0.34018,0.28254,0.13133,1.93085,2.43428,1.90465,0.00124509,0.00124509,0.00124509
15,1698.28,1.7666,2.14426,1.68175,0.34819,0.39383,0.31933,0.16069,1.87272,2.15149,1.85143,0.00123094,0.00123094,0.00123094
16,1802.84,1.74237,2.08701,1.67597,0.63911,0.35948,0.31522,0.15515,1.85207,2.25153,1.84711,0.00121679,0.00121679,0.00121679
17,1907.1,1.73462,2.10688,1.67223,0.51368,0.41041,0.34656,0.16948,1.85098,2.07385,1.84874,0.00120265,0.00120265,0.00120265
18,2010.69,1.7026,2.02209,1.63968,0.34801,0.44332,0.32083,0.15686,1.84519,2.19421,1.83422,0.0011885,0.0011885,0.0011885
19,2113.53,1.69936,2.00704,1.65388,0.48144,0.47077,0.40972,0.20714,1.8284,2.04269,1.80934,0.00117435,0.00117435,0.00117435
20,2218.31,1.71468,2.02231,1.65179,0.41448,0.47023,0.39806,0.20624,1.79316,2.12014,1.7895,0.00116021,0.00116021,0.00116021
21,2321.16,1.67894,2.0153,1.63395,0.46118,0.39829,0.36497,0.18822,1.81377,2.07875,1.80735,0.00114606,0.00114606,0.00114606
22,2424.61,1.6697,1.92764,1.61247,0.45233,0.4815,0.41598,0.21114,1.86153,2.02312,1.82971,0.00113191,0.00113191,0.00113191
23,2529.09,1.6573,1.91743,1.61508,0.49742,0.45431,0.43861,0.22716,1.73894,1.92667,1.75398,0.00111776,0.00111776,0.00111776
24,2633.96,1.65222,1.90254,1.61427,0.52493,0.45563,0.46316,0.23897,1.78337,1.87643,1.7933,0.00110362,0.00110362,0.00110362
25,2739.1,1.65144,1.88521,1.59641,0.45816,0.50456,0.44448,0.2384,1.7466,1.94158,1.75602,0.00108947,0.00108947,0.00108947
26,2843.41,1.60837,1.85985,1.57408,0.51138,0.48782,0.45065,0.23819,1.73406,1.85945,1.74323,0.00107532,0.00107532,0.00107532
27,2947.86,1.59871,1.81602,1.58446,0.46189,0.49164,0.43367,0.23016,1.74174,1.87834,1.74628,0.00106118,0.00106118,0.00106118
28,3052.43,1.59707,1.81219,1.55271,0.4744,0.51178,0.47412,0.25177,1.71427,1.8949,1.7318,0.00104703,0.00104703,0.00104703
29,3156.3,1.59792,1.80006,1.57163,0.44735,0.53365,0.45764,0.23276,1.7881,1.81104,1.74427,0.00103288,0.00103288,0.00103288
30,3260.85,1.60006,1.76826,1.56488,0.50408,0.49906,0.48209,0.25428,1.75673,1.81076,1.74976,0.00101873,0.00101873,0.00101873
31,3364.75,1.53391,1.74087,1.5314,0.55005,0.50427,0.48285,0.27279,1.69177,1.80218,1.71112,0.00100459,0.00100459,0.00100459
32,3468.79,1.55766,1.72689,1.55751,0.48067,0.48979,0.46164,0.25502,1.70561,1.79943,1.70981,0.00099044,0.00099044,0.00099044
33,3571.7,1.57146,1.73235,1.55251,0.47301,0.52879,0.48785,0.2756,1.67245,1.74745,1.68436,0.000976293,0.000976293,0.000976293
34,3675.32,1.54429,1.70624,1.53824,0.55242,0.51336,0.50365,0.27634,1.63656,1.76949,1.69502,0.000962146,0.000962146,0.000962146
35,3779.08,1.51197,1.64677,1.50205,0.5446,0.53814,0.51133,0.27757,1.70801,1.74495,1.74456,0.000947999,0.000947999,0.000947999
36,3883.49,1.5232,1.67536,1.53152,0.50904,0.55873,0.50862,0.27846,1.64712,1.71881,1.68041,0.000933851,0.000933851,0.000933851
37,3988.7,1.49814,1.62283,1.50759,0.55822,0.53422,0.52306,0.29117,1.6082,1.66696,1.65172,0.000919704,0.000919704,0.000919704
38,4093.46,1.49518,1.61013,1.48336,0.48427,0.53763,0.4986,0.27511,1.6574,1.73193,1.66476,0.000905557,0.000905557,0.000905557
39,4197.73,1.49452,1.603,1.5052,0.54228,0.54835,0.55125,0.31366,1.62049,1.62069,1.64952,0.00089141,0.00089141,0.00089141
40,4302.86,1.46477,1.59607,1.47262,0.54194,0.54763,0.53457,0.29972,1.62679,1.72338,1.67684,0.000877263,0.000877263,0.000877263
41,4406.1,1.4802,1.57245,1.48045,0.56318,0.55379,0.53858,0.3061,1.58334,1.60132,1.6251,0.000863116,0.000863116,0.000863116
